Question,Option1,Option2,Option3,Option4,Answer
What protects Earth from solar winds?,Magnetosphere,Ozone Layer,Clouds,Atmosphere,Magnetosphere
Which country has the most islands?,Indonesia,Sweden,Philippines,Finland,Sweden
Where is Mount Everest located?,India,Nepal,China,Bhutan,Nepal
What protects Earth from solar winds?,Ozone Layer,Clouds,Atmosphere,Magnetosphere,Magnetosphere
Which is the largest ocean?,Indian,Pacific,Arctic,Atlantic,Pacific
Which planet is known as the Red Planet?,Venus,Mercury,Jupiter,Mars,Mars
Which planet is known as the Red Planet?,Mercury,Mars,Venus,Jupiter,Mars
Which country has the most islands?,Finland,Philippines,Sweden,Indonesia,Sweden
What is the largest planet in our solar system?,Saturn,Earth,Jupiter,Mars,Jupiter
Which planet is farthest from the sun?,Jupiter,Uranus,Neptune,Saturn,Neptune
What protects Earth from solar winds?,Ozone Layer,Atmosphere,Clouds,Magnetosphere,Magnetosphere
Which country has the most islands?,Indonesia,Sweden,Philippines,Finland,Sweden
Which continent has the most countries?,South America,Africa,Europe,Asia,Africa
Which planet is known as the Red Planet?,Mercury,Mars,Jupiter,Venus,Mars
Which galaxy do we live in?,Milky Way,Whirlpool,Andromeda,Sombrero,Milky Way
Which galaxy do we live in?,Whirlpool,Andromeda,Sombrero,Milky Way,Milky Way
What is the smallest country?,Vatican City,Tuvalu,Nauru,Monaco,Vatican City
Which is the largest desert?,Sahara,Antarctic,Gobi,Kalahari,Antarctic
What is the largest planet in our solar system?,Saturn,Mars,Jupiter,Earth,Jupiter
What protects Earth from solar winds?,Clouds,Ozone Layer,Atmosphere,Magnetosphere,Magnetosphere
Which river is the longest in the world?,Mississippi,Amazon,Nile,Yangtze,Nile
Which country has the most islands?,Philippines,Sweden,Indonesia,Finland,Sweden
What is the smallest country?,Tuvalu,Vatican City,Monaco,Nauru,Vatican City
What is the capital of Australia?,Brisbane,Canberra,Sydney,Melbourne,Canberra
Which country has the most islands?,Sweden,Philippines,Indonesia,Finland,Sweden
Which country has the most islands?,Finland,Indonesia,Sweden,Philippines,Sweden
Which planet is farthest from the sun?,Jupiter,Saturn,Neptune,Uranus,Neptune
Which is the hottest planet in the solar system?,Mercury,Venus,Mars,Neptune,Venus
Which planet has the most moons?,Jupiter,Mars,Earth,Saturn,Saturn
What protects Earth from solar winds?,Magnetosphere,Ozone Layer,Atmosphere,Clouds,Magnetosphere
Which river is the longest in the world?,Yangtze,Mississippi,Amazon,Nile,Nile
Which river is the longest in the world?,Amazon,Nile,Mississippi,Yangtze,Nile
Which country has the most islands?,Philippines,Indonesia,Finland,Sweden,Sweden
Which country has the most islands?,Indonesia,Finland,Philippines,Sweden,Sweden
Which planet has the most moons?,Saturn,Mars,Earth,Jupiter,Saturn
Which planet is farthest from the sun?,Uranus,Jupiter,Saturn,Neptune,Neptune
What is the capital of Australia?,Sydney,Canberra,Brisbane,Melbourne,Canberra
Where is Mount Everest located?,China,Bhutan,Nepal,India,Nepal
Which continent has the most countries?,South America,Europe,Asia,Africa,Africa
What is the smallest country?,Monaco,Vatican City,Tuvalu,Nauru,Vatican City
Which planet has the most moons?,Mars,Earth,Saturn,Jupiter,Saturn
Which river is the longest in the world?,Mississippi,Yangtze,Amazon,Nile,Nile
What is the largest planet in our solar system?,Jupiter,Mars,Saturn,Earth,Jupiter
What is the smallest country?,Nauru,Tuvalu,Monaco,Vatican City,Vatican City
Which is the largest desert?,Gobi,Antarctic,Kalahari,Sahara,Antarctic
What protects Earth from solar winds?,Atmosphere,Ozone Layer,Clouds,Magnetosphere,Magnetosphere
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,Jupiter
What is the capital of Australia?,Brisbane,Sydney,Melbourne,Canberra,Canberra
Which is the largest ocean?,Arctic,Indian,Pacific,Atlantic,Pacific
Which country has the most islands?,Indonesia,Sweden,Finland,Philippines,Sweden
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,Canberra
Where is Mount Everest located?,China,Bhutan,Nepal,India,Nepal
Where is Mount Everest located?,China,Bhutan,Nepal,India,Nepal
Which is the hottest planet in the solar system?,Mars,Venus,Neptune,Mercury,Venus
What is the capital of Australia?,Sydney,Canberra,Brisbane,Melbourne,Canberra
Where is Mount Everest located?,Nepal,China,Bhutan,India,Nepal
Which planet is known as the Red Planet?,Jupiter,Mars,Venus,Mercury,Mars
What is the largest planet in our solar system?,Saturn,Mars,Earth,Jupiter,Jupiter
Which is the largest ocean?,Atlantic,Pacific,Indian,Arctic,Pacific
What protects Earth from solar winds?,Magnetosphere,Clouds,Atmosphere,Ozone Layer,Magnetosphere
Which is the largest desert?,Sahara,Gobi,Antarctic,Kalahari,Antarctic
Which galaxy do we live in?,Whirlpool,Milky Way,Sombrero,Andromeda,Milky Way
What is the capital of Australia?,Sydney,Canberra,Melbourne,Brisbane,Canberra
Which planet has the most moons?,Jupiter,Earth,Saturn,Mars,Saturn
Which is the largest desert?,Antarctic,Kalahari,Sahara,Gobi,Antarctic
Which is the largest ocean?,Arctic,Pacific,Atlantic,Indian,Pacific
What protects Earth from solar winds?,Atmosphere,Clouds,Magnetosphere,Ozone Layer,Magnetosphere
Where is Mount Everest located?,China,Bhutan,India,Nepal,Nepal
What is the capital of Australia?,Canberra,Sydney,Brisbane,Melbourne,Canberra
Which planet is farthest from the sun?,Jupiter,Uranus,Neptune,Saturn,Neptune
What is the capital of Australia?,Canberra,Brisbane,Melbourne,Sydney,Canberra
What protects Earth from solar winds?,Clouds,Ozone Layer,Magnetosphere,Atmosphere,Magnetosphere
Which is the hottest planet in the solar system?,Venus,Neptune,Mars,Mercury,Venus
Which planet is farthest from the sun?,Jupiter,Uranus,Saturn,Neptune,Neptune
Which country has the most islands?,Sweden,Philippines,Indonesia,Finland,Sweden
Which river is the longest in the world?,Mississippi,Amazon,Yangtze,Nile,Nile
Which planet has the most moons?,Jupiter,Earth,Saturn,Mars,Saturn
Which planet has the most moons?,Mars,Earth,Jupiter,Saturn,Saturn
Which planet is known as the Red Planet?,Venus,Mercury,Mars,Jupiter,Mars
Which galaxy do we live in?,Whirlpool,Andromeda,Milky Way,Sombrero,Milky Way
First person on the Moon?,Buzz Aldrin,Yuri Gagarin,Michael Collins,Neil Armstrong,Neil Armstrong
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Mercury,Mars
Which planet is farthest from the sun?,Neptune,Uranus,Saturn,Jupiter,Neptune
Which continent has the most countries?,Asia,Africa,South America,Europe,Africa
Which is the largest desert?,Antarctic,Sahara,Gobi,Kalahari,Antarctic
Which is the largest desert?,Kalahari,Sahara,Gobi,Antarctic,Antarctic
What protects Earth from solar winds?,Ozone Layer,Clouds,Magnetosphere,Atmosphere,Magnetosphere
Which continent has the most countries?,Europe,South America,Asia,Africa,Africa
Which planet is farthest from the sun?,Jupiter,Neptune,Uranus,Saturn,Neptune
What protects Earth from solar winds?,Ozone Layer,Atmosphere,Clouds,Magnetosphere,Magnetosphere
Which planet has the most moons?,Earth,Jupiter,Saturn,Mars,Saturn
Which planet has the most moons?,Saturn,Jupiter,Earth,Mars,Saturn
Which is the hottest planet in the solar system?,Mars,Mercury,Neptune,Venus,Venus
Which planet is known as the Red Planet?,Mars,Mercury,Venus,Jupiter,Mars
What is the capital of Australia?,Canberra,Melbourne,Brisbane,Sydney,Canberra
Which planet is farthest from the sun?,Saturn,Neptune,Jupiter,Uranus,Neptune
First person on the Moon?,Michael Collins,Buzz Aldrin,Neil Armstrong,Yuri Gagarin,Neil Armstrong
Where is Mount Everest located?,India,Bhutan,Nepal,China,Nepal
Which river is the longest in the world?,Amazon,Nile,Mississippi,Yangtze,Nile
First person on the Moon?,Michael Collins,Yuri Gagarin,Buzz Aldrin,Neil Armstrong,Neil Armstrong
Which is the largest ocean?,Arctic,Indian,Atlantic,Pacific,Pacific
Which continent has the most countries?,Asia,Europe,Africa,South America,Africa
What is the smallest country?,Vatican City,Tuvalu,Nauru,Monaco,Vatican City
Where is Mount Everest located?,Nepal,Bhutan,China,India,Nepal
Which country has the most islands?,Philippines,Sweden,Finland,Indonesia,Sweden
Which river is the longest in the world?,Nile,Amazon,Yangtze,Mississippi,Nile
What is the smallest country?,Tuvalu,Monaco,Vatican City,Nauru,Vatican City
What is the smallest country?,Vatican City,Nauru,Tuvalu,Monaco,Vatican City
Which planet is farthest from the sun?,Saturn,Uranus,Neptune,Jupiter,Neptune
Where is Mount Everest located?,Nepal,India,China,Bhutan,Nepal
What protects Earth from solar winds?,Magnetosphere,Atmosphere,Ozone Layer,Clouds,Magnetosphere
Which country has the most islands?,Sweden,Philippines,Finland,Indonesia,Sweden
What is the smallest country?,Vatican City,Monaco,Tuvalu,Nauru,Vatican City
Which galaxy do we live in?,Milky Way,Whirlpool,Andromeda,Sombrero,Milky Way
Where is Mount Everest located?,Nepal,India,China,Bhutan,Nepal
Which river is the longest in the world?,Amazon,Yangtze,Nile,Mississippi,Nile
What is the smallest country?,Vatican City,Tuvalu,Monaco,Nauru,Vatican City
Which is the hottest planet in the solar system?,Neptune,Mars,Venus,Mercury,Venus
Which galaxy do we live in?,Sombrero,Andromeda,Milky Way,Whirlpool,Milky Way
What protects Earth from solar winds?,Atmosphere,Magnetosphere,Ozone Layer,Clouds,Magnetosphere
Which planet has the most moons?,Jupiter,Mars,Saturn,Earth,Saturn
Which river is the longest in the world?,Nile,Yangtze,Amazon,Mississippi,Nile
What is the largest planet in our solar system?,Saturn,Earth,Mars,Jupiter,Jupiter
What is the largest planet in our solar system?,Jupiter,Earth,Mars,Saturn,Jupiter
Which is the largest desert?,Antarctic,Kalahari,Gobi,Sahara,Antarctic
First person on the Moon?,Michael Collins,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Neil Armstrong
Which galaxy do we live in?,Whirlpool,Andromeda,Sombrero,Milky Way,Milky Way
Which is the largest ocean?,Indian,Pacific,Arctic,Atlantic,Pacific
Which is the largest ocean?,Arctic,Indian,Pacific,Atlantic,Pacific
Which is the hottest planet in the solar system?,Venus,Mercury,Mars,Neptune,Venus
Which planet is farthest from the sun?,Jupiter,Uranus,Saturn,Neptune,Neptune
Where is Mount Everest located?,Bhutan,India,China,Nepal,Nepal
Which is the largest desert?,Sahara,Kalahari,Antarctic,Gobi,Antarctic
Which continent has the most countries?,South America,Europe,Africa,Asia,Africa
Which is the hottest planet in the solar system?,Mercury,Venus,Neptune,Mars,Venus
What is the smallest country?,Tuvalu,Monaco,Vatican City,Nauru,Vatican City
Which continent has the most countries?,Asia,South America,Africa,Europe,Africa
Which is the hottest planet in the solar system?,Mars,Venus,Mercury,Neptune,Venus
Which river is the longest in the world?,Amazon,Mississippi,Yangtze,Nile,Nile
What is the largest planet in our solar system?,Saturn,Earth,Mars,Jupiter,Jupiter
What is the capital of Australia?,Brisbane,Melbourne,Sydney,Canberra,Canberra
Where is Mount Everest located?,Bhutan,Nepal,India,China,Nepal
Which planet is farthest from the sun?,Saturn,Neptune,Uranus,Jupiter,Neptune
Where is Mount Everest located?,India,China,Nepal,Bhutan,Nepal
Which is the hottest planet in the solar system?,Mercury,Neptune,Mars,Venus,Venus
What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,Jupiter
Which is the largest desert?,Sahara,Gobi,Kalahari,Antarctic,Antarctic
What is the smallest country?,Nauru,Vatican City,Monaco,Tuvalu,Vatican City
What protects Earth from solar winds?,Magnetosphere,Atmosphere,Clouds,Ozone Layer,Magnetosphere
Which planet is farthest from the sun?,Neptune,Jupiter,Saturn,Uranus,Neptune
Which continent has the most countries?,Europe,Asia,Africa,South America,Africa
Which is the largest desert?,Sahara,Antarctic,Gobi,Kalahari,Antarctic
What is the smallest country?,Tuvalu,Nauru,Monaco,Vatican City,Vatican City
Which galaxy do we live in?,Milky Way,Sombrero,Andromeda,Whirlpool,Milky Way
Where is Mount Everest located?,Bhutan,India,China,Nepal,Nepal
First person on the Moon?,Buzz Aldrin,Yuri Gagarin,Michael Collins,Neil Armstrong,Neil Armstrong
Which is the largest ocean?,Atlantic,Pacific,Indian,Arctic,Pacific
Which is the largest desert?,Kalahari,Sahara,Antarctic,Gobi,Antarctic
Which is the largest desert?,Antarctic,Gobi,Kalahari,Sahara,Antarctic
Which galaxy do we live in?,Sombrero,Andromeda,Whirlpool,Milky Way,Milky Way
Which planet has the most moons?,Mars,Jupiter,Saturn,Earth,Saturn
Which is the hottest planet in the solar system?,Mars,Mercury,Venus,Neptune,Venus
What is the smallest country?,Nauru,Monaco,Tuvalu,Vatican City,Vatican City
Which is the hottest planet in the solar system?,Venus,Neptune,Mars,Mercury,Venus
Which planet is farthest from the sun?,Jupiter,Neptune,Saturn,Uranus,Neptune
Which galaxy do we live in?,Sombrero,Whirlpool,Milky Way,Andromeda,Milky Way
What is the smallest country?,Nauru,Vatican City,Tuvalu,Monaco,Vatican City
Where is Mount Everest located?,India,China,Bhutan,Nepal,Nepal
Which is the largest desert?,Sahara,Antarctic,Gobi,Kalahari,Antarctic
What is the largest planet in our solar system?,Saturn,Earth,Mars,Jupiter,Jupiter
Which is the hottest planet in the solar system?,Mars,Mercury,Neptune,Venus,Venus
Which river is the longest in the world?,Yangtze,Amazon,Mississippi,Nile,Nile
What is the capital of Australia?,Canberra,Brisbane,Sydney,Melbourne,Canberra
Which planet is known as the Red Planet?,Mars,Jupiter,Mercury,Venus,Mars
Where is Mount Everest located?,China,Bhutan,India,Nepal,Nepal
Which galaxy do we live in?,Andromeda,Whirlpool,Milky Way,Sombrero,Milky Way
Which is the largest desert?,Gobi,Sahara,Kalahari,Antarctic,Antarctic
Which planet is known as the Red Planet?,Venus,Jupiter,Mercury,Mars,Mars
Where is Mount Everest located?,China,Nepal,India,Bhutan,Nepal
Where is Mount Everest located?,Nepal,Bhutan,India,China,Nepal
Which country has the most islands?,Indonesia,Philippines,Finland,Sweden,Sweden
What is the smallest country?,Vatican City,Nauru,Tuvalu,Monaco,Vatican City
Which country has the most islands?,Finland,Philippines,Sweden,Indonesia,Sweden
Which planet is farthest from the sun?,Saturn,Jupiter,Uranus,Neptune,Neptune
Which continent has the most countries?,Europe,Africa,South America,Asia,Africa
What protects Earth from solar winds?,Ozone Layer,Atmosphere,Clouds,Magnetosphere,Magnetosphere
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Mercury,Mars
First person on the Moon?,Michael Collins,Yuri Gagarin,Buzz Aldrin,Neil Armstrong,Neil Armstrong
First person on the Moon?,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Michael Collins,Neil Armstrong
Which is the largest desert?,Sahara,Antarctic,Kalahari,Gobi,Antarctic
What is the smallest country?,Monaco,Vatican City,Tuvalu,Nauru,Vatican City
What is the capital of Australia?,Canberra,Sydney,Brisbane,Melbourne,Canberra
Which is the largest ocean?,Indian,Atlantic,Arctic,Pacific,Pacific
Which continent has the most countries?,Europe,Asia,Africa,South America,Africa
Which river is the longest in the world?,Yangtze,Mississippi,Amazon,Nile,Nile
Which is the hottest planet in the solar system?,Mercury,Mars,Neptune,Venus,Venus
Which planet has the most moons?,Saturn,Mars,Jupiter,Earth,Saturn
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Mercury,Mars
Which planet is farthest from the sun?,Neptune,Jupiter,Uranus,Saturn,Neptune
What protects Earth from solar winds?,Clouds,Magnetosphere,Ozone Layer,Atmosphere,Magnetosphere
Which is the largest desert?,Sahara,Gobi,Kalahari,Antarctic,Antarctic
Which planet is known as the Red Planet?,Mars,Mercury,Venus,Jupiter,Mars
What is the smallest country?,Tuvalu,Nauru,Monaco,Vatican City,Vatican City
Which planet is farthest from the sun?,Uranus,Saturn,Jupiter,Neptune,Neptune
Which galaxy do we live in?,Whirlpool,Milky Way,Andromeda,Sombrero,Milky Way
Which is the largest desert?,Antarctic,Gobi,Sahara,Kalahari,Antarctic
What protects Earth from solar winds?,Atmosphere,Magnetosphere,Ozone Layer,Clouds,Magnetosphere
Which is the hottest planet in the solar system?,Neptune,Venus,Mercury,Mars,Venus
Which planet has the most moons?,Jupiter,Mars,Earth,Saturn,Saturn
What is the largest planet in our solar system?,Earth,Saturn,Mars,Jupiter,Jupiter
What is the largest planet in our solar system?,Saturn,Mars,Earth,Jupiter,Jupiter
Which planet has the most moons?,Mars,Jupiter,Saturn,Earth,Saturn
First person on the Moon?,Michael Collins,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Neil Armstrong
